"biotypes"	"length"	"gc"
"ENSMUSG00000087574"	"lincRNA"	1601	50.38
"ENSMUSG00000087571"	"antisense"	393	64.89
"ENSMUSG00000087570"	"lincRNA"	622	49.52
"ENSMUSG00000087579"	"lincRNA"	1206	44.89
"ENSMUSG00000087578"	"antisense"	655	53.29
"ENSMUSG00000058568"	"protein_coding"	373	41.02
"ENSMUSG00000058569"	"protein_coding"	1420	54.30
"ENSMUSG00000058567"	"pseudogene"	512	43.95
"ENSMUSG00000073862"	"protein_coding"	486	45.06
"ENSMUSG00000021583"	"protein_coding"	4014	41.80
"ENSMUSG00000073860"	"lincRNA"	593	49.57
"ENSMUSG00000073866"	"protein_coding"	2669	53.17
"ENSMUSG00000073867"	"protein_coding"	3339	43.61
"ENSMUSG00000079800"	"protein_coding"	1271	46.11
"ENSMUSG00000021585"	"protein_coding"	2894	44.26
"ENSMUSG00000021589"	"protein_coding"	2529	45.18
"ENSMUSG00000079808"	"protein_coding"	1910	49.69
"ENSMUSG00000020755"	"protein_coding"	1600	52.48
"ENSMUSG00000030889"	"protein_coding"	2571	51.20
"ENSMUSG00000030888"	"protein_coding"	1182	51.78
"ENSMUSG00000086190"	"antisense"	933	46.41
"ENSMUSG00000086191"	"antisense"	537	56.80
"ENSMUSG00000086196"	"antisense"	1754	45.56
"ENSMUSG00000086197"	"lincRNA"	479	44.68
"ENSMUSG00000086194"	"pseudogene"	371	50.40
"ENSMUSG00000086195"	"pseudogene"	340	55.00
"ENSMUSG00000030881"	"protein_coding"	1565	55.28
"ENSMUSG00000030880"	"protein_coding"	4195	50.19
"ENSMUSG00000026750"	"protein_coding"	885	47.92
"ENSMUSG00000030882"	"protein_coding"	4449	49.47
"ENSMUSG00000030884"	"protein_coding"	808	46.65
"ENSMUSG00000030887"	"protein_coding"	1471	45.75
"ENSMUSG00000026755"	"protein_coding"	1989	47.41
"ENSMUSG00000059219"	"pseudogene"	960	44.06
"ENSMUSG00000007338"	"protein_coding"	1722	48.95
"ENSMUSG00000020752"	"protein_coding"	2200	54.32
"ENSMUSG00000043003"	"protein_coding"	5170	40.11
"ENSMUSG00000093363"	"miRNA"	125	57.60
"ENSMUSG00000059213"	"protein_coding"	3740	59.97
"ENSMUSG00000081840"	"pseudogene"	379	49.60
"ENSMUSG00000081843"	"pseudogene"	323	57.59
"ENSMUSG00000075833"	"snRNA"	107	44.86
"ENSMUSG00000075832"	"snRNA"	107	41.12
"ENSMUSG00000075837"	"snRNA"	141	42.55
"ENSMUSG00000020758"	"protein_coding"	4074	59.16
"ENSMUSG00000086224"	"lincRNA"	677	45.84
"ENSMUSG00000086225"	"pseudogene"	992	49.50
"ENSMUSG00000086226"	"antisense"	664	59.49
"ENSMUSG00000086227"	"lincRNA"	664	38.70
"ENSMUSG00000086220"	"antisense"	1182	56.51
"ENSMUSG00000086221"	"lincRNA"	1276	41.46
"ENSMUSG00000086222"	"antisense"	285	49.47
"ENSMUSG00000086223"	"processed_transcript"	266	34.21
"ENSMUSG00000086228"	"protein_coding"	1381	59.30
"ENSMUSG00000086229"	"pseudogene"	1053	44.82
"ENSMUSG00000081643"	"pseudogene"	646	53.41
"ENSMUSG00000081642"	"pseudogene"	240	41.67
"ENSMUSG00000081641"	"pseudogene"	971	48.09
"ENSMUSG00000081640"	"pseudogene"	933	54.34
"ENSMUSG00000081647"	"pseudogene"	285	55.44
"ENSMUSG00000081646"	"pseudogene"	948	45.36
"ENSMUSG00000083951"	"pseudogene"	333	44.74
"ENSMUSG00000081649"	"protein_coding"	984	48.78
"ENSMUSG00000081648"	"pseudogene"	888	39.41
"ENSMUSG00000085553"	"antisense"	361	57.06
"ENSMUSG00000085552"	"pseudogene"	383	40.73
"ENSMUSG00000085551"	"lincRNA"	274	50.73
"ENSMUSG00000085550"	"antisense"	574	44.77
"ENSMUSG00000085556"	"processed_transcript"	636	46.23
"ENSMUSG00000085555"	"lincRNA"	1524	45.73
"ENSMUSG00000094670"	"snoRNA"	114	42.98
"ENSMUSG00000094671"	"protein_coding"	2279	43.97
"ENSMUSG00000094672"	"protein_coding"	2568	41.04
"ENSMUSG00000094673"	"protein_coding"	1095	41.83
"ENSMUSG00000094674"	"miRNA"	90	50.00
"ENSMUSG00000094675"	"lincRNA"	1149	39.69
"ENSMUSG00000094676"	"retrotransposed"	273	47.62
"ENSMUSG00000094677"	"miRNA"	95	47.37
"ENSMUSG00000027560"	"protein_coding"	1768	52.55
"ENSMUSG00000047168"	"retrotransposed"	684	51.32
"ENSMUSG00000089417"	"snoRNA"	343	39.36
"ENSMUSG00000089414"	"snoRNA"	87	37.93
"ENSMUSG00000089415"	"snoRNA"	123	47.15
"ENSMUSG00000089412"	"snoRNA"	105	41.90
"ENSMUSG00000089413"	"snRNA"	103	44.66
"ENSMUSG00000089410"	"misc_RNA"	290	55.52
"ENSMUSG00000077092"	"miRNA"	65	46.15
"ENSMUSG00000047163"	"protein_coding"	1106	45.66
"ENSMUSG00000077096"	"miRNA"	65	33.85
"ENSMUSG00000089418"	"misc_RNA"	110	42.73
"ENSMUSG00000089419"	"snoRNA"	103	28.16
"ENSMUSG00000085885"	"processed_transcript"	680	51.91
"ENSMUSG00000085884"	"lincRNA"	2100	42.95
"ENSMUSG00000085887"	"antisense"	2729	49.95
"ENSMUSG00000085886"	"lincRNA"	2536	50.20
"ENSMUSG00000085881"	"antisense"	578	55.54
"ENSMUSG00000085880"	"pseudogene"	1393	47.33
"ENSMUSG00000085883"	"antisense"	299	46.23
"ENSMUSG00000085882"	"lincRNA"	1360	50.96
"ENSMUSG00000085889"	"antisense"	445	47.87
"ENSMUSG00000085888"	"antisense"	646	51.54
"ENSMUSG00000083270"	"pseudogene"	2166	45.84
"ENSMUSG00000029919"	"protein_coding"	1948	43.05
"ENSMUSG00000029918"	"protein_coding"	669	46.65
"ENSMUSG00000029915"	"protein_coding"	1753	41.81
"ENSMUSG00000029917"	"protein_coding"	1324	50.40
"ENSMUSG00000029916"	"protein_coding"	2225	48.22
"ENSMUSG00000029911"	"protein_coding"	1002	43.42
"ENSMUSG00000029910"	"protein_coding"	1251	45.59
"ENSMUSG00000029913"	"protein_coding"	1655	48.51
"ENSMUSG00000077549"	"snoRNA"	85	51.76
"ENSMUSG00000027215"	"protein_coding"	948	55.35
"ENSMUSG00000077545"	"snoRNA"	131	54.20
"ENSMUSG00000077547"	"snRNA"	96	35.42
"ENSMUSG00000077546"	"snoRNA"	136	49.26
"ENSMUSG00000077541"	"snRNA"	107	41.12
"ENSMUSG00000077543"	"snoRNA"	127	51.18
"ENSMUSG00000077542"	"snoRNA"	130	44.62
"ENSMUSG00000095109"	"protein_coding"	627	44.34
"ENSMUSG00000095108"	"protein_coding"	468	50.00
"ENSMUSG00000084682"	"misc_RNA"	287	55.75
"ENSMUSG00000084683"	"misc_RNA"	302	52.98
"ENSMUSG00000084684"	"misc_RNA"	281	43.06
"ENSMUSG00000084686"	"snoRNA"	127	38.58
"ENSMUSG00000084688"	"rRNA"	110	51.82
"ENSMUSG00000084689"	"rRNA"	121	44.63
"ENSMUSG00000095103"	"protein_coding"	567	35.98
"ENSMUSG00000095102"	"rRNA"	121	43.80
"ENSMUSG00000095105"	"protein_coding"	8103	48.54
"ENSMUSG00000095104"	"protein_coding"	1168	33.05
"ENSMUSG00000095107"	"pseudogene"	898	40.87
"ENSMUSG00000095106"	"snoRNA"	90	38.89
"ENSMUSG00000026848"	"protein_coding"	2197	52.45
"ENSMUSG00000043263"	"protein_coding"	3497	39.43
"ENSMUSG00000043262"	"protein_coding"	2655	43.81
"ENSMUSG00000043267"	"protein_coding"	1011	42.73
"ENSMUSG00000080590"	"miRNA"	121	49.59
"ENSMUSG00000080592"	"miRNA"	63	30.16
"ENSMUSG00000080594"	"miRNA"	125	39.20
"ENSMUSG00000080595"	"snRNA"	126	43.65
"ENSMUSG00000080596"	"miRNA"	116	18.97
"ENSMUSG00000080597"	"miRNA"	93	39.78
"ENSMUSG00000026047"	"protein_coding"	1456	44.51
"ENSMUSG00000026842"	"protein_coding"	2251	52.73
"ENSMUSG00000026843"	"protein_coding"	1409	50.79
"ENSMUSG00000000125"	"protein_coding"	3076	52.60
"ENSMUSG00000044533"	"protein_coding"	862	56.17
"ENSMUSG00000034435"	"protein_coding"	3282	49.85
"ENSMUSG00000034437"	"retrotransposed"	342	50.58
"ENSMUSG00000034430"	"protein_coding"	4280	52.85
"ENSMUSG00000034432"	"protein_coding"	1843	48.83
"ENSMUSG00000083488"	"pseudogene"	766	43.47
"ENSMUSG00000083487"	"pseudogene"	422	47.39
"ENSMUSG00000083486"	"pseudogene"	350	50.86
"ENSMUSG00000083485"	"pseudogene"	389	46.27
"ENSMUSG00000083484"	"pseudogene"	279	37.99
"ENSMUSG00000034438"	"protein_coding"	2029	46.37
"ENSMUSG00000083482"	"pseudogene"	255	43.92
"ENSMUSG00000083481"	"pseudogene"	625	52.04
"ENSMUSG00000074011"	"protein_coding"	1443	47.12
"ENSMUSG00000062478"	"protein_coding"	718	56.53
"ENSMUSG00000068129"	"protein_coding"	986	50.10
"ENSMUSG00000087908"	"snoRNA"	134	44.78
"ENSMUSG00000087909"	"misc_RNA"	228	51.32
"ENSMUSG00000087904"	"misc_RNA"	215	41.86
"ENSMUSG00000087905"	"misc_RNA"	296	40.20
"ENSMUSG00000087902"	"misc_RNA"	242	41.74
"ENSMUSG00000087903"	"snoRNA"	132	44.70
"ENSMUSG00000087901"	"snoRNA"	128	35.94
"ENSMUSG00000053914"	"protein_coding"	2406	51.41
"ENSMUSG00000053916"	"protein_coding"	887	46.25
"ENSMUSG00000017723"	"protein_coding"	526	57.54
"ENSMUSG00000017721"	"protein_coding"	1976	56.95
"ENSMUSG00000017720"	"protein_coding"	934	47.86
"ENSMUSG00000017724"	"protein_coding"	1087	61.51
"ENSMUSG00000009356"	"protein_coding"	1251	56.21
"ENSMUSG00000009350"	"protein_coding"	1299	54.96
"ENSMUSG00000015474"	"protein_coding"	1196	57.40
"ENSMUSG00000011267"	"protein_coding"	1530	59.48
"ENSMUSG00000078816"	"protein_coding"	2615	55.94
"ENSMUSG00000078817"	"protein_coding"	4329	51.10
"ENSMUSG00000078815"	"protein_coding"	783	60.28
"ENSMUSG00000078812"	"protein_coding"	1132	53.50
"ENSMUSG00000078813"	"protein_coding"	2222	54.77
"ENSMUSG00000078810"	"protein_coding"	1152	49.83
"ENSMUSG00000046323"	"protein_coding"	762	44.77
"ENSMUSG00000050296"	"protein_coding"	8323	46.13
"ENSMUSG00000027405"	"protein_coding"	1072	50.24
"ENSMUSG00000050295"	"protein_coding"	3990	53.93
"ENSMUSG00000093509"	"pseudogene"	1004	46.31
"ENSMUSG00000093508"	"miRNA"	89	44.94
"ENSMUSG00000093507"	"processed_transcript"	706	44.54
"ENSMUSG00000093506"	"3prime_overlapping_ncrna"	479	41.96
"ENSMUSG00000093505"	"pseudogene"	333	60.96
"ENSMUSG00000093504"	"pseudogene"	900	38.44
"ENSMUSG00000093503"	"pseudogene"	1015	39.41
"ENSMUSG00000093502"	"processed_transcript"	2205	38.96
"ENSMUSG00000093501"	"protein_coding"	1096	37.96
"ENSMUSG00000093500"	"protein_coding"	1090	53.65
"ENSMUSG00000027406"	"protein_coding"	1184	51.68
"ENSMUSG00000027401"	"protein_coding"	4135	49.94
"ENSMUSG00000027400"	"protein_coding"	1134	53.54
"ENSMUSG00000027403"	"protein_coding"	3200	53.18
"ENSMUSG00000041138"	"protein_coding"	1367	41.68
"ENSMUSG00000000003"	"protein_coding"	799	39.87
"ENSMUSG00000041133"	"protein_coding"	1473	47.20
"ENSMUSG00000041132"	"protein_coding"	1906	46.80
"ENSMUSG00000041135"	"protein_coding"	2748	47.52
"ENSMUSG00000041134"	"protein_coding"	2515	44.73
"ENSMUSG00000027409"	"protein_coding"	611	57.64
"ENSMUSG00000016921"	"protein_coding"	1902	51.01
"ENSMUSG00000027408"	"protein_coding"	1521	55.15
"ENSMUSG00000064923"	"snRNA"	165	56.97
"ENSMUSG00000014402"	"protein_coding"	975	44.09
"ENSMUSG00000058603"	"pseudogene"	455	56.75
"ENSMUSG00000064927"	"snRNA"	158	40.51
"ENSMUSG00000064926"	"snRNA"	107	43.93
"ENSMUSG00000058607"	"protein_coding"	378	50.00
"ENSMUSG00000090346"	"protein_coding"	1056	37.69
"ENSMUSG00000064928"	"snRNA"	108	39.81
"ENSMUSG00000090340"	"protein_coding"	375	53.60
"ENSMUSG00000090341"	"pseudogene"	469	51.17
"ENSMUSG00000090342"	"protein_coding"	2430	39.84
"ENSMUSG00000055401"	"protein_coding"	1072	56.99
"ENSMUSG00000055403"	"protein_coding"	1504	50.14
"ENSMUSG00000050435"	"protein_coding"	743	45.49
"ENSMUSG00000055408"	"antisense"	2335	48.78
"ENSMUSG00000055409"	"protein_coding"	2490	50.74
"ENSMUSG00000050439"	"protein_coding"	2110	53.13
"ENSMUSG00000051527"	"protein_coding"	2610	44.64
"ENSMUSG00000057054"	"protein_coding"	1178	52.92
"ENSMUSG00000051528"	"protein_coding"	948	43.35
"ENSMUSG00000057050"	"protein_coding"	1091	44.45
"ENSMUSG00000040770"	"protein_coding"	1064	57.52
"ENSMUSG00000094994"	"snoRNA"	94	43.62
"ENSMUSG00000094997"	"snoRNA"	94	43.62
"ENSMUSG00000094996"	"miRNA"	94	39.36
"ENSMUSG00000094991"	"protein_coding"	516	42.83
"ENSMUSG00000094990"	"snoRNA"	90	38.89
"ENSMUSG00000094993"	"IG_V_gene"	356	50.56
"ENSMUSG00000094992"	"protein_coding"	1490	44.63
"ENSMUSG00000094999"	"protein_coding"	468	50.00
"ENSMUSG00000094998"	"snoRNA"	79	43.04
"ENSMUSG00000056174"	"protein_coding"	2337	58.00
"ENSMUSG00000057802"	"protein_coding"	306	53.92
"ENSMUSG00000057801"	"protein_coding"	1079	40.69
"ENSMUSG00000057805"	"protein_coding"	559	42.93
"ENSMUSG00000012126"	"protein_coding"	976	57.65
"ENSMUSG00000012123"	"protein_coding"	1155	56.44
"ENSMUSG00000025269"	"protein_coding"	1928	49.54
"ENSMUSG00000025268"	"protein_coding"	1479	54.83
"ENSMUSG00000025266"	"protein_coding"	1818	48.27
"ENSMUSG00000025265"	"protein_coding"	2174	52.45
"ENSMUSG00000025264"	"protein_coding"	2456	48.66
"ENSMUSG00000025262"	"protein_coding"	5643	47.78
"ENSMUSG00000025261"	"protein_coding"	2705	46.13
"ENSMUSG00000025260"	"protein_coding"	958	51.14
"ENSMUSG00000094331"	"protein_coding"	1556	58.87
"ENSMUSG00000094330"	"miRNA"	127	39.37
"ENSMUSG00000094333"	"protein_coding"	684	46.35
"ENSMUSG00000094332"	"miRNA"	110	61.82
"ENSMUSG00000094335"	"IG_V_gene"	359	47.63
"ENSMUSG00000094334"	"retrotransposed"	408	51.47
"ENSMUSG00000094337"	"protein_coding"	1150	47.52
"ENSMUSG00000094336"	"protein_coding"	1612	44.22
"ENSMUSG00000094339"	"protein_coding"	684	46.05
"ENSMUSG00000094338"	"protein_coding"	381	63.25
"ENSMUSG00000048439"	"protein_coding"	1429	47.03
"ENSMUSG00000091129"	"protein_coding"	474	52.95
"ENSMUSG00000065328"	"snoRNA"	200	50.50
"ENSMUSG00000065329"	"snRNA"	155	43.87
"ENSMUSG00000065322"	"snRNA"	107	42.06
"ENSMUSG00000060131"	"protein_coding"	3387	45.26
"ENSMUSG00000065320"	"snRNA"	81	39.51
"ENSMUSG00000065321"	"snRNA"	107	42.06
"ENSMUSG00000065327"	"misc_RNA"	310	52.26
"ENSMUSG00000047203"	"protein_coding"	948	42.93
"ENSMUSG00000047205"	"protein_coding"	3658	49.37
"ENSMUSG00000047207"	"protein_coding"	1089	44.81
"ENSMUSG00000067780"	"protein_coding"	6922	35.57
"ENSMUSG00000054079"	"protein_coding"	2158	42.26
"ENSMUSG00000067786"	"protein_coding"	847	60.43
"ENSMUSG00000067787"	"protein_coding"	964	53.81
"ENSMUSG00000053277"	"protein_coding"	1968	38.06
"ENSMUSG00000088169"	"snoRNA"	104	46.15
"ENSMUSG00000053279"	"protein_coding"	2053	46.23
"ENSMUSG00000046490"	"protein_coding"	3463	51.17
"ENSMUSG00000068324"	"retrotransposed"	333	47.75
"ENSMUSG00000068327"	"protein_coding"	1511	67.12
"ENSMUSG00000068323"	"protein_coding"	2315	55.92
"ENSMUSG00000068329"	"protein_coding"	1362	56.34
"ENSMUSG00000068328"	"protein_coding"	1509	59.58
"ENSMUSG00000064493"	"snoRNA"	127	42.52
"ENSMUSG00000064492"	"snRNA"	107	42.99
"ENSMUSG00000064491"	"snRNA"	107	43.93
"ENSMUSG00000063442"	"pseudogene"	369	48.49
"ENSMUSG00000064497"	"snRNA"	107	42.06
"ENSMUSG00000064496"	"snoRNA"	73	47.95
"ENSMUSG00000063447"	"protein_coding"	1090	48.17
"ENSMUSG00000064494"	"snRNA"	107	44.86
"ENSMUSG00000076946"	"miRNA"	81	37.04
"ENSMUSG00000076944"	"miRNA"	66	33.33
"ENSMUSG00000076940"	"IG_V_gene"	348	50.00
"ENSMUSG00000076941"	"miRNA"	110	62.73
"ENSMUSG00000076948"	"miRNA"	87	36.78
"ENSMUSG00000076949"	"miRNA"	110	62.73
"ENSMUSG00000066438"	"protein_coding"	1342	55.34
"ENSMUSG00000092474"	"processed_transcript"	1031	55.97
"ENSMUSG00000092475"	"lincRNA"	2286	51.97
"ENSMUSG00000092476"	"pseudogene"	951	39.33
"ENSMUSG00000092477"	"pseudogene"	462	46.97
"ENSMUSG00000092470"	"protein_coding"	3811	56.57
"ENSMUSG00000092471"	"pseudogene"	1383	57.12
"ENSMUSG00000092472"	"pseudogene"	112	45.54
"ENSMUSG00000092473"	"protein_coding"	959	41.71
"ENSMUSG00000019932"	"protein_coding"	1950	40.51
"ENSMUSG00000019933"	"protein_coding"	425	48.71
"ENSMUSG00000019935"	"protein_coding"	3159	46.39
"ENSMUSG00000019936"	"protein_coding"	2131	37.24
"ENSMUSG00000070469"	"protein_coding"	2262	51.11
"ENSMUSG00000064145"	"protein_coding"	3924	49.85
"ENSMUSG00000020346"	"protein_coding"	1200	55.36
"ENSMUSG00000070465"	"protein_coding"	3050	34.13
"ENSMUSG00000070464"	"protein_coding"	282	49.29
"ENSMUSG00000064141"	"protein_coding"	1387	50.09
"ENSMUSG00000070462"	"protein_coding"	3847	57.50
"ENSMUSG00000070461"	"protein_coding"	1360	51.54
"ENSMUSG00000070460"	"protein_coding"	1157	43.13
"ENSMUSG00000053490"	"protein_coding"	3624	46.74
"ENSMUSG00000053499"	"protein_coding"	2470	37.00
"ENSMUSG00000054728"	"protein_coding"	1652	49.62
"ENSMUSG00000054723"	"protein_coding"	2081	54.69
"ENSMUSG00000054720"	"protein_coding"	2196	50.27
"ENSMUSG00000054727"	"protein_coding"	1224	42.08
"ENSMUSG00000079806"	"protein_coding"	693	43.87
"ENSMUSG00000084739"	"snRNA"	107	37.38
"ENSMUSG00000036744"	"protein_coding"	2228	44.33
"ENSMUSG00000036745"	"protein_coding"	3385	43.58
"ENSMUSG00000096205"	"snRNA"	164	55.49
"ENSMUSG00000096204"	"protein_coding"	1109	45.36
"ENSMUSG00000096203"	"protein_coding"	684	46.05
"ENSMUSG00000096202"	"snRNA"	107	40.19
"ENSMUSG00000096201"	"protein_coding"	678	35.77
"ENSMUSG00000036743"	"protein_coding"	1693	42.71
"ENSMUSG00000033510"	"protein_coding"	1646	60.71
"ENSMUSG00000036748"	"protein_coding"	1887	56.65
"ENSMUSG00000036749"	"protein_coding"	1322	46.75
"ENSMUSG00000096209"	"protein_coding"	945	42.01
"ENSMUSG00000096208"	"snRNA"	107	42.06
"ENSMUSG00000062797"	"protein_coding"	956	46.59
"ENSMUSG00000062794"	"protein_coding"	3574	43.17
"ENSMUSG00000062793"	"protein_coding"	942	39.07
"ENSMUSG00000062791"	"protein_coding"	4070	36.04
"ENSMUSG00000062421"	"protein_coding"	1388	48.03
"ENSMUSG00000062426"	"protein_coding"	1002	43.21
"ENSMUSG00000019066"	"protein_coding"	1877	55.83
"ENSMUSG00000042377"	"protein_coding"	3631	58.50
"ENSMUSG00000091462"	"pseudogene"	2321	46.77
"ENSMUSG00000091460"	"protein_coding"	387	54.78
"ENSMUSG00000091466"	"pseudogene"	493	45.44
"ENSMUSG00000091468"	"protein_coding"	3045	39.84
"ENSMUSG00000055897"	"pseudogene"	2097	52.19
"ENSMUSG00000055895"	"protein_coding"	601	41.81
"ENSMUSG00000080507"	"miRNA"	86	45.35
"ENSMUSG00000071738"	"protein_coding"	1077	41.69
"ENSMUSG00000060491"	"protein_coding"	851	40.99
"ENSMUSG00000060490"	"protein_coding"	897	42.14
"ENSMUSG00000071735"	"lincRNA"	458	35.81
"ENSMUSG00000060499"	"protein_coding"	1021	51.22
"ENSMUSG00000063362"	"protein_coding"	2752	42.68
"ENSMUSG00000080500"	"miRNA"	121	42.98
"ENSMUSG00000031918"	"protein_coding"	1692	45.51
"ENSMUSG00000031919"	"protein_coding"	863	48.55
"ENSMUSG00000031916"	"protein_coding"	2185	55.05
"ENSMUSG00000031917"	"protein_coding"	2960	45.43
"ENSMUSG00000031910"	"protein_coding"	3738	51.94
"ENSMUSG00000031913"	"protein_coding"	1128	51.16
"ENSMUSG00000049349"	"protein_coding"	1665	48.17
"ENSMUSG00000038637"	"protein_coding"	2034	57.40
"ENSMUSG00000038633"	"protein_coding"	1410	47.58
"ENSMUSG00000038630"	"protein_coding"	2794	46.78
"ENSMUSG00000030359"	"protein_coding"	3372	47.24
"ENSMUSG00000030357"	"protein_coding"	1607	55.36
"ENSMUSG00000030351"	"protein_coding"	2387	57.19
"ENSMUSG00000030350"	"protein_coding"	2724	55.25
"ENSMUSG00000030353"	"protein_coding"	1517	61.77
"ENSMUSG00000030352"	"protein_coding"	1199	57.44
"ENSMUSG00000084617"	"snRNA"	189	43.39
"ENSMUSG00000089220"	"snoRNA"	113	39.82
"ENSMUSG00000073465"	"protein_coding"	309	46.93
"ENSMUSG00000073460"	"protein_coding"	1689	51.98
"ENSMUSG00000084613"	"rRNA"	112	46.43
"ENSMUSG00000073468"	"protein_coding"	831	49.10
"ENSMUSG00000089224"	"misc_RNA"	192	43.75
"ENSMUSG00000049699"	"protein_coding"	1002	50.20
"ENSMUSG00000049694"	"protein_coding"	1043	50.91
"ENSMUSG00000089226"	"rRNA"	84	34.52
"ENSMUSG00000049690"	"protein_coding"	2900	47.60
"ENSMUSG00000049691"	"protein_coding"	1713	67.78
"ENSMUSG00000049692"	"protein_coding"	1288	54.89
"ENSMUSG00000035329"	"protein_coding"	2064	42.85
"ENSMUSG00000035325"	"protein_coding"	4227	52.42
"ENSMUSG00000075705"	"protein_coding"	1048	54.78
"ENSMUSG00000075704"	"protein_coding"	967	54.59
"ENSMUSG00000075707"	"protein_coding"	1739	58.35
"ENSMUSG00000075706"	"protein_coding"	668	58.70
"ENSMUSG00000075701"	"protein_coding"	1198	47.50
"ENSMUSG00000023707"	"protein_coding"	1204	59.04
"ENSMUSG00000075703"	"protein_coding"	2746	44.31
"ENSMUSG00000075702"	"protein_coding"	1052	58.74
"ENSMUSG00000026958"	"protein_coding"	1220	54.07
"ENSMUSG00000026959"	"protein_coding"	2933	57.77
"ENSMUSG00000056812"	"protein_coding"	2120	44.00
"ENSMUSG00000043068"	"protein_coding"	1315	56.20
"ENSMUSG00000056815"	"protein_coding"	525	43.81
"ENSMUSG00000043061"	"protein_coding"	2952	44.68
"ENSMUSG00000043060"	"protein_coding"	3566	44.48
"ENSMUSG00000043065"	"protein_coding"	1349	46.65
"ENSMUSG00000043067"	"protein_coding"	2936	44.01
"ENSMUSG00000043066"	"protein_coding"	1524	36.48
"ENSMUSG00000022257"	"protein_coding"	1897	50.03
"ENSMUSG00000029287"	"protein_coding"	2747	50.97
"ENSMUSG00000029286"	"protein_coding"	5483	43.01
"ENSMUSG00000029281"	"protein_coding"	676	37.28
"ENSMUSG00000029280"	"protein_coding"	663	47.36
"ENSMUSG00000029283"	"protein_coding"	2559	45.85
"ENSMUSG00000029282"	"protein_coding"	1022	46.67
"ENSMUSG00000029288"	"protein_coding"	1850	46.27
"ENSMUSG00000031007"	"protein_coding"	1508	42.86
"ENSMUSG00000031004"	"protein_coding"	10075	46.61
"ENSMUSG00000068869"	"protein_coding"	583	52.31
"ENSMUSG00000082961"	"pseudogene"	595	53.95
"ENSMUSG00000017288"	"protein_coding"	1273	50.22
"ENSMUSG00000028882"	"protein_coding"	1036	51.40
"ENSMUSG00000034639"	"protein_coding"	1149	48.25
